Code,Food Name,Energy_(kJ),Energy_(kcal),Water (g),Protein (g),Fat (g),Carb (g),Fibre (g),Ash (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Selenium (mcg),VitA_RAE,VitA_RE,Retinol,BetaCaratone,Thiamin,Riboflavin,Niacin,DietaryFolatEq,FoodFolate,VitB12,VitC
15114,Black Bean Stew (Dolichos/ Njahi Stew),261,62,83.6,3.6,1.3,7.7,2.8,1.1,17.0,1.2,26,55,175,164.0,0.42,2.0,3.0,5.0,0.0,30.0,0.07,0.03,0.4,4.0,4.0,0.0,2.6
15115,Bean Stew with Milk and Cream,584,139,65.2,7.2,4.5,14.3,6.7,2.2,66.0,1.9,34,197,259,273.0,0.96,2.0,25.0,32.0,19.0,77.0,0.08,0.11,0.6,47.0,47.0,0.12,4.4
15116,Mcheleng (Rice with Milk),741,176,61.5,3.9,5.7,27.2,0.2,1.4,53.0,0.4,12,96,73,419.0,0.64,1.0,44.0,47.0,42.0,27.0,0.02,0.14,0.3,9.0,9.0,0.2,0.0
15117,Pan Fried Arrowroots,761,181,56.9,4.1,5.2,28.3,2.5,3.1,8.0,1.3,29,50,696,616.0,1.09,1.0,2.0,3.0,0.0,20.0,0.21,0.1,2.4,0.0,0.0,0.0,1.7
15118,Nyenyi (Mashed Pigeon Peas & Green Maize),524,125,66.4,4.9,2.3,17.8,6.5,2.0,56.0,1.8,41,106,479,273.0,0.89,4.0,23.0,34.0,12.0,130.0,0.14,0.05,1.0,54.0,54.0,0.0,2.9
15119,Finger Millet and Sorghum Porridge,311,74,82.3,2.7,2.2,9.7,2.3,0.8,93.0,1.1,24,91,130,23.0,0.54,4.0,22.0,23.0,22.0,10.0,0.02,0.14,0.4,9.0,9.0,0.28,0.0
15120,Mashed Pumpkin and Black Nightshade Leaves,277,67,80.8,3.8,2.4,4.9,5.1,3.0,91.0,6.7,41,75,456,411.0,0.66,1.0,88.0,176.0,0.0,1050.0,0.09,0.27,1.4,233.0,233.0,0.0,21.5
15121,Enriched Matoke,465,111,73.7,2.4,3.5,15.8,3.2,1.4,15.0,0.9,33,37,256,220.0,0.32,2.0,0.0,0.0,0.0,2.0,0.08,0.04,1.0,14.0,14.0,0.0,12.0
15122,Oatmeal,351,83,78.3,2.4,1.7,12.9,3.5,1.2,15.0,1.0,35,110,82,209.0,0.71,10.0,0.0,0.0,0.0,0.0,0.13,0.03,0.2,6.0,6.0,0.0,0.0
15123,Oat Porridge (Uji wa Shayiri),363,86,79.3,1.9,1.6,15.3,1.4,0.5,39.0,0.4,18,77,69,14.0,0.45,5.0,11.0,11.0,11.0,5.0,0.05,0.08,0.1,3.0,3.0,0.14,0.0
